R,G,B,BL,ambient,LUX
134,134,134,255,271,320
135,135,135,255,271,320
136,136,136,255,271,320
137,137,137,255,271,320
138,138,138,255,271,320
139,139,139,255,271,327
140,140,140,255,271,327
141,141,141,255,271,327
142,142,142,255,271,327
143,143,143,255,271,334
144,144,144,255,271,334
145,145,145,255,271,334
146,146,146,255,271,334
147,147,147,255,271,334
148,148,148,255,271,341
149,149,149,255,271,341
150,150,150,255,271,341
151,151,151,255,271,348
152,152,152,255,271,348
153,153,153,255,271,348
154,154,154,255,271,348
155,155,155,255,271,357
156,156,156,255,271,357
157,157,157,255,271,357
158,158,158,255,271,357
159,159,159,255,271,364
160,160,160,255,271,364
161,161,161,255,271,364
162,162,162,255,271,364
163,163,163,255,271,364
164,164,164,255,271,372
165,165,165,255,271,372
166,166,166,255,271,372
167,167,167,255,271,372
168,168,168,255,271,380
169,169,169,255,271,380
170,170,170,255,271,380
171,171,171,255,271,380
172,172,172,255,271,389
173,173,173,255,271,389
174,174,174,255,271,389
175,175,175,255,271,389
176,176,176,255,271,398
177,177,177,255,271,398
178,178,178,255,271,398
179,179,179,255,271,398
180,180,180,255,271,408
181,181,181,255,271,408
182,182,182,255,271,408
183,183,183,255,271,408
184,184,184,255,271,417
185,185,185,255,271,417
186,186,186,255,271,417
187,187,187,255,271,417
188,188,188,255,271,426
189,189,189,255,271,426
190,190,190,255,271,426
191,191,191,255,271,435
192,192,192,255,271,435
193,193,193,255,271,435
194,194,194,255,271,435
195,195,195,255,271,444
196,196,196,255,271,444
197,197,197,255,271,444
198,198,198,255,271,454
199,199,199,255,271,454
200,200,200,255,271,454
201,201,201,255,271,454
202,202,202,255,271,464
203,203,203,255,271,464
204,204,204,255,271,464
205,205,205,255,271,464
206,206,206,255,271,474
207,207,207,255,271,474
208,208,208,255,271,474
209,209,209,255,271,484
210,210,210,255,271,484
211,211,211,255,271,484
212,212,212,255,271,495
213,213,213,255,271,495
214,214,214,255,271,495
215,215,215,255,271,495
216,216,216,255,271,505
217,217,217,255,271,505
218,218,218,255,271,505
219,219,219,255,271,517
220,220,220,255,271,517
221,221,221,255,271,517
222,222,222,255,271,527
223,223,223,255,271,527
224,224,224,255,271,527
225,225,225,255,271,538
226,226,226,255,271,538
227,227,227,255,271,538
228,228,228,255,271,550
229,229,229,255,271,550
230,230,230,255,271,550
231,231,231,255,271,550
232,232,232,255,271,561
233,233,233,255,271,561
234,234,234,255,271,573
235,235,235,255,271,573
236,236,236,255,271,573
237,237,237,255,271,585
238,238,238,255,271,585
239,239,239,255,271,585
240,240,240,255,271,597
241,241,241,255,271,597
242,242,242,255,271,597
243,243,243,255,271,609
244,244,244,255,271,609
245,245,245,255,271,609
246,246,246,255,271,623
247,247,247,255,271,623
248,248,248,255,271,623
249,249,249,255,271,636
250,250,250,255,271,636
251,251,251,255,271,636
252,252,252,255,271,650
253,253,253,255,271,650
254,254,254,255,271,650
